venue,bibcode,backed_by_code,needs_specialized_hardware,has_source
TISSEC,BasinBK12,True,False,False
TISSEC,RoemerBSS12,True,False,False
TISSEC,MittalB12,False,unknown,False
TISSEC,YavuzNR12,False,unknown,False
TISSEC,GiladH12,True,False,True
TISSEC,BhargavanFCZ12,True,False,False
TISSEC,DannerDKL12,True,False,True
TISSEC,FeigenbaumJS12,False,unknown,False
TISSEC,KhouryT12,False,unknown,False
TISSEC,DanevCMB12,True,True,False
TISSEC,CamenischG12,True,False,True
TISSEC,BrennanAG12,False,unknown,False
TISSEC,AbadiP12,False,unknown,False
TACO,ClearyCPG13,True,False,False
TACO,YangWXW12,True,False,False
TACO,CuiXWYFF12,True,False,False
TACO,TartaraC13,True,False,True
TACO,YiapanisRBL13,True,False,False
TACO,CuiYXF13,True,False,False
TACO,LuqueMCV13,True,True,False
TACO,DuZCMM13,True,True,False
TACO,VerdoolaegeJCGTC13,True,False,True
TACO,LiMJ13,True,True,False
TACO,LeeKLYP13,True,False,False
TACO,BelviranliBG13,True,False,False
TACO,YangXKMZ12,True,False,True
TACO,AntaoS13,True,False,False
TACO,GhandourAM12,False,unknown,False
TACO,LiPZI12,True,False,False
TACO,ValeroSPLD12,True,True,False
TACO,MazloomMTAS12,True,False,False
TACO,ChenS13,True,False,False
TACO,MajumdarCBCG12,True,False,False
TACO,AbadPG13,True,True,False
TACO,DioufHCOP13,True,False,False
TACO,XekalakisIC12,True,False,False
TACO,RohouWY13,True,False,False
TACO,XiaoCCGHLRW13,True,True,False
TACO,YanJTF13,True,False,False
TACO,GeraciS12,True,True,False
TACO,NugterenCC13,True,False,True
TACO,BaghdadiCVT13,True,False,False
TACO,PuriniJ13,True,False,False
TACO,AndradeFD12,True,False,False
TACO,LutzFC13,True,True,False
TACO,ChenFHEFTW12,False,unknown,False
TACO,DolanMG13,True,False,True
TACO,GuhaHS12,True,True,False
TACO,JangLER12,True,True,False
TACO,FowersBWS13,True,True,False
TACO,CraeynestE13,False,unknown,False
TACO,AlbericioIVL13,True,False,False
TACO,PusukuriGB13,True,False,True
TACO,KhanBRHCC13,True,True,False
TACO,NegiG13,True,True,False
TACO,WimmerHVJDS13,True,False,True
TACO,AbbasiVG12,True,False,False
TACO,PopC13,True,False,True
TACO,ChrysosDPD13,True,False,False
TACO,AhnJKLS12,True,True,False
TACO,CuiWCS13,True,False,False
TACO,LankesWWH12,True,True,False
TACO,SeghirLM12,True,False,True
TACO,LeeKV12,True,True,False
TACO,LewisTG12,True,False,False
TACO,CoelhoI13,True,False,False
TACO,EyermanE12,True,False,False
TACO,BoisEE13,False,unknown,False
TACO,SharafeddineJA12,True,False,False
TACO,CoppensSM13,True,False,False
TACO,LuoZ12,True,True,False
TACO,GerardsK13,False,unknown,False
TACO,MattheakisP13,True,True,False
TODS,YangRW12,True,False,False
TODS,TassaG12,True,False,False
TODS,Nuray-TuranKM12,False,unknown,False
TODS,Graefe12,False,unknown,False
TODS,BarceloLLW12,False,unknown,False
TODS,LiuC12,True,False,False
TODS,LemireKG12,True,False,True
TODS,Nuray-TuranKMY12,False,unknown,False
TODS,ShengT12,False,unknown,False
TODS,XieDSZZ12,True,False,False
TODS,DamaggioDV12,False,unknown,False
TODS,WangY12,True,False,False
TODS,ZhangLZCZ12,True,False,False
TODS,DavidLT12,True,False,False
TODS,CongFKLL12,True,False,False
TODS,MartinenghiT12,True,False,True
TODS,GraefeKK12,True,False,False
TODS,AmsterdamerDMT12,False,unknown,False
TODS,Wijsen12,False,unknown,False
TODS,ShengTL12,True,False,False
TODS,FanGW12,False,unknown,False
TODS,LiPT12,True,False,True
TODS,XiaZFCW12,True,False,False
TODS,HartmannL12,False,unknown,False
TODS,AbiteboulBV12,False,unknown,False
TODS,ReS12,False,unknown,False
TODS,SchneiderCVY12,False,unknown,False
TODS,LiMDMS12,True,False,True
TODS,KimelfeldVW12,False,unknown,False
OSDI,KimCZ12,False,unknown,False
OSDI,LiPCGPR12,True,False,False
OSDI,HanMCR12,True,False,False
OSDI,NightingaleEFHHS12,True,False,False
OSDI,KyrolaBG12,True,False,True
OSDI,TangABBGS12,False,unknown,False
OSDI,JinZDLL12,False,unknown,False
OSDI,RodehefferRSWK12,True,False,False
OSDI,GuoFCZZMLLZZ12,True,False,False
OSDI,BelayBMTMK12,True,False,True
OSDI,RavindranathPAMOS12,True,False,False
OSDI,NarayanH12,False,unknown,False
OSDI,DunnLJKSXSW12,True,False,False
OSDI,RenzelmannKS12,True,False,True
OSDI,KapritsosWQCAD12,False,unknown,False
OSDI,ShueFS12,False,unknown,False
OSDI,GordonJMMC12,True,False,True
OSDI,YuanPHLLTZS12,False,unknown,False
OSDI,AttariyanCF12,True,False,False
OSDI,Levis12,True,False,True
OSDI,WangCJZK12,True,False,True
OSDI,FrostFGGHHOCDEF12,True,False,False
OSDI,WolinskyCFJ12,True,False,True
OSDI,GonzalezLGBG12,True,False,True
SIGMOD,LuSLDWC12,False,unknown,False
SIGMOD,RekatsinasDG12,False,unknown,False
SIGMOD,MozafariZZ12,True,False,False
SIGMOD,WuLWZ12,False,unknown,False
SIGMOD,ParameswaranGPPRW12,True,False,False
SIGMOD,KwonBHR12,True,False,True
SIGMOD,FengKRR12,True,False,True
SIGMOD,MohanTSSC12,True,False,True
SIGMOD,KatsifodimosMV12,False,unknown,False
SIGMOD,WangLF12,False,unknown,False
SIGMOD,ConsensILP12,False,unknown,False
SIGMOD,ThomsonDWRSA12,True,False,False
SIGMOD,YakoutGCC12,False,unknown,False
SIGMOD,NanongkaiLSM12,True,False,False
SIGMOD,HellingsFH12,True,False,True
SIGMOD,GuoPG12,True,False,False
SIGMOD,PavloCZ12,False,unknown,False
SIGMOD,SinghNJ12,True,False,False
SIGMOD,SidlauskasSJ12,False,unknown,False
SIGMOD,AlagiannisBBIA12,True,False,False
SIGMOD,ThomsenYJ12,False,unknown,False
SIGMOD,XuKWCC12,False,unknown,False
SIGMOD,JinRXL12,True,False,False
SIGMOD,MondalD12,True,False,False
SIGMOD,HuXCY12,True,False,False
SIGMOD,YuAY12,True,False,False
SIGMOD,DingWJHW12,False,unknown,False
SIGMOD,RamachandraS12,True,False,False
SIGMOD,YangYZK12,True,False,True
SIGMOD,GotzNG12,False,unknown,False
SIGMOD,Zhang0D12,False,unknown,False
SIGMOD,JinRDY12,True,False,True
SIGMOD,FanLWW12,False,unknown,False
SIGMOD,QianCJ12,False,unknown,False
SIGMOD,LiG12,True,False,False
SIGMOD,TeubnerWN12,True,True,False
SIGMOD,SarmaFGHLWXY12,False,unknown,False
SIGMOD,ZhouBL12,False,unknown,False
SIGMOD,BegleyHC12,True,False,False
SIGMOD,ZhuLZZY12,False,unknown,False
SIGMOD,GanFFN12,True,False,True
SIGMOD,ChengKCC12,True,False,True
SIGMOD,FraternaliMT12,True,False,False
SIGMOD,SearsR12,True,False,True
SIGMOD,KanneE12,True,False,False
SIGMOD,GiatrakosDGSS12,True,False,False
ASPLOS,GreathouseXLA12,True,False,False
ASPLOS,LymberopoulosRSMN12,True,False,False
ASPLOS,PanneerselvamS12,False,unknown,False
ASPLOS,LeeS12,True,False,False
ASPLOS,ChenFETW12,True,False,False
ASPLOS,KadavS12,True,False,False
ASPLOS,AhmadCRV12,False,unknown,False
ASPLOS,GovindanWSU12,True,True,False
ASPLOS,DeVuystVT12,False,unknown,False
ASPLOS,OlszewskiZKAA12,True,False,False
ASPLOS,HariANR12,True,False,False
ASPLOS,KasikciZC12,True,False,False
ASPLOS,CaulfieldMEDCS12,True,False,False
ASPLOS,MartignoniMPSM12,True,False,False
ASPLOS,VolosTSL12,True,False,False
ASPLOS,HongCSO12,True,False,True
ASPLOS,GordonAHBLST12,True,False,False
ASPLOS,SimhaLC12,True,False,False
ASPLOS,SzeferL12,True,True,False
ASPLOS,ChangMRSSB12,False,unknown,False
ASPLOS,NarayananH12,True,False,False
ASPLOS,ClementsKZ12,True,False,True
ASPLOS,LinNGR12,False,unknown,False
ASPLOS,JoaoSMP12,True,True,False
ASPLOS,ParkSPCM12,False,unknown,False
ASPLOS,JaleelNSSE12,True,False,False
ASPLOS,KingDA12,True,False,False
ASPLOS,LinWLZ12,True,False,False
ASPLOS,HwangSS12,False,unknown,False
ASPLOS,MeisnerW12,True,False,False
ASPLOS,EsmaeilzadehSCB12,False,unknown,False
ASPLOS,OdairaN12,False,unknown,False
ASPLOS,FeinerBG12,True,False,False
ASPLOS,VasicNMKB12,True,False,False
ASPLOS,RadojkovicCMVPCNV12,True,False,False
ASPLOS,CheritonFSSA12,True,True,False
OOPSLA,LogozzoB12,False,unknown,False
OOPSLA,SiddiquiK12,True,False,False
OOPSLA,KumarFBGT12,True,False,False
OOPSLA,LucasER12,True,False,False
OOPSLA,DubrauH12,True,False,True
OOPSLA,Schultz12,False,unknown,False
OOPSLA,StricklandTFF12,True,False,True
OOPSLA,Corral12,False,unknown,False
OOPSLA,TardieuNPS12,False,unknown,False
OOPSLA,KastnerOE12,True,False,True
OOPSLA,DattaSS12,False,unknown,False
OOPSLA,InoueHWN12,True,False,False
OOPSLA,TsengT12,True,False,False
OOPSLA,GordonPPBD12,True,False,False
OOPSLA,Effinger-DeanLCGB12,True,False,False
OOPSLA,Soares12,True,False,True
OOPSLA,SuenagaFI12,True,False,True
OOPSLA,JoK12,True,False,True
OOPSLA,KonatVKWV12,True,False,True
OOPSLA,ChughHJ12,True,False,True
OOPSLA,HuangMDE12,True,False,True
OOPSLA,SreeramP12,True,False,False
OOPSLA,CamposE12,True,False,False
OOPSLA,ImamS12,True,False,True
OOPSLA,GuBSS12,True,False,True
OOPSLA,BarowyCBM12,True,False,True
OOPSLA,Xu12,True,False,False
OOPSLA,KangR12,True,False,True
OOPSLA,Zhang0LZMY12,True,False,False
OOPSLA,SartorE12,False,unknown,False
OOPSLA,PrountzosMP12,True,False,False
OOPSLA,Zarb12,False,unknown,False
OOPSLA,HaydenSDHF12,True,False,False
OOPSLA,LiuSLG12,True,False,False
OOPSLA,BettsCDQT12,True,False,True
OOPSLA,CousotCLB12,True,False,False
OOPSLA,MagillHSM12,False,unknown,False
OOPSLA,St-AmourTF12,True,False,True
OOPSLA,RosuS12,True,False,True
OOPSLA,WaelC12,False,unknown,False
OOPSLA,ZhaoPYQWGOPMET12,True,False,True
OOPSLA,Nishino12,False,unknown,False
OOPSLA,HuangZ12,True,False,False
OOPSLA,MusluBHEN12,True,False,True
OOPSLA,VoracekT12,True,False,True
OOPSLA,MishneSY12,True,False,True
OOPSLA,HafizA12,True,False,False
OOPSLA,HuangZ12a,False,unknown,False
OOPSLA,ParizekL12,True,False,True
OOPSLA,WangLZ012,True,False,True
OOPSLA,TamayoABS12,False,unknown,False
OOPSLA,CastanosEINNOW12,False,unknown,False
OOPSLA,MeawadRMV12,True,False,True
OOPSLA,SchillerE12,True,False,False
OOPSLA,MullerC12,True,False,False
OOPSLA,CohenZSL12,True,False,True
OOPSLA,Anderson12,True,False,False
OOPSLA,Giarrusso12,True,False,True
OOPSLA,WuZSJGS12,False,unknown,False
OOPSLA,KlingMCR12,True,False,False
OOPSLA,KaliberaMJV12,True,False,True
OOPSLA,KulkarniC12,True,False,False
OOPSLA,SolodkyyRS12,True,False,True
OOPSLA,RicciS12,True,False,True
OOPSLA,Tobin-HochstadtH12,True,False,True
OOPSLA,MayerHRTS12,False,unknown,False
OOPSLA,BocqD12,True,False,False
OOPSLA,AusielloDFF12,True,False,False
OOPSLA,LeinoM12,True,False,True
OOPSLA,YuNPP12,True,False,True
OOPSLA,BaoZZ12,True,False,True
OOPSLA,TakikawaSDTF12,False,unknown,False
OOPSLA,AsaithambiJ12,False,unknown,False
TOPLAS,RenganarayananKSR12,True,False,True
TOPLAS,DolbyHMTVV12,True,False,True
TOPLAS,VerdoolaegeJB12,False,unknown,False
TOPLAS,Ben-AmramGM12,False,unknown,False
TOPLAS,JoishaSBBC12,False,unknown,False
TOPLAS,0002AH12,True,False,True
TOPLAS,WuM12,True,False,True
TOPLAS,SmansJP12,True,False,True
TOPLAS,CarboneHY12,False,unknown,False
TOPLAS,BoudolLRS12,True,False,True
TOPLAS,JongeKVS12,True,False,False
TOPLAS,BoddenLH12,True,False,True
TOPLAS,BenderskyP12,False,unknown,False
TOPLAS,GantyM12,False,unknown,False
TOPLAS,FengDY12,False,unknown,False
TOPLAS,FraineES12,True,False,True
PLDI,DubachCRBF12,False,unknown,False
PLDI,CarteyLM12,True,False,False
PLDI,PetrovVSD12,True,False,False
PLDI,JohnsonKPZA12,True,False,False
PLDI,MorrisettTTTG12,True,False,False
PLDI,SarkarMOBSMAW12,True,False,True
PLDI,SamadiHMLM12,True,False,False
PLDI,RamanZLA12,False,unknown,False
PLDI,RamanZSVY12,False,unknown,False
PLDI,FischerME12,True,False,True
PLDI,RegehrCCEEY12,True,False,True
PLDI,OhHLLY12,True,False,False
PLDI,GrebenshchikovLPR12,True,False,True
PLDI,ChiwKRSS12,True,False,True
PLDI,FengGN12,True,False,False
PLDI,LeeCFN12,False,unknown,False
PLDI,CarbinKMR12,True,False,True
PLDI,TrippMFS12,False,unknown,False
PLDI,AlbarghouthiKNR12,True,False,False
PLDI,CoppaDF12,True,False,True
PLDI,HawkinsAFRS12,False,unknown,False
PLDI,HolewinskiRRFPRS12,True,False,False
PLDI,LiuZJDK12,True,False,False
PLDI,PerelmanGBG12,True,False,True
PLDI,OanceaR12,True,False,False
PLDI,DilligDA12,True,False,False
PLDI,Turon12,True,False,True
PLDI,PradelG12,True,False,True
PLDI,LeungGAGJL12,True,False,False
PLDI,KruijfSJ12,True,False,False
PLDI,JinSSSL12,True,False,False
PLDI,GodefroidT12,True,False,False
PLDI,NagarakatteBMM12,True,False,False
PLDI,KawaguchiRBJ12,True,False,True
PLDI,KuznetsovKBC12,True,False,True
PLDI,OliveiraSCLY12,False,unknown,False
PLDI,ZaparanuksH12,True,False,False
PLDI,GuerraouiKL12,True,False,True
PLDI,HackettG12,True,False,False
PLDI,Chen12,True,False,False
PLDI,BenzHH12,True,False,True
PLDI,GazzilloG12,True,False,True
PLDI,EomD12,True,False,False
PLDI,WuTHCY12,True,False,False
PLDI,BaconCS12,True,False,False
PLDI,ChenDA12,True,False,False
PLDI,LiuNPVY12,False,unknown,False
PLDI,ZhangAM12,True,False,False
SOSP,ChandraKSNZ11,False,unknown,False
SOSP,ChenSGK11,True,False,False
SOSP,LimFAK11,True,False,True
SOSP,RossbachCSRW11,False,unknown,False
SOSP,HarterDVAA11,True,False,True
SOSP,PopaRZB11,True,False,True
SOSP,AdyaCMP11,True,False,False
SOSP,YinMZZBP11,False,unknown,False
SOSP,MaoCZWZK11,True,False,False
SOSP,CalderWONSMXSWSHUKEBMAAHHBDAMSMR11,True,False,False
SOSP,LaadanVTBYN11,False,unknown,False
SOSP,LloydFKA11,True,False,False
SOSP,ZhangCCZ11,True,False,False
SOSP,ColpNZACDLW11,True,False,False
SOSP,SovranPAL11,True,False,False
SOSP,LiuCB11,True,False,True
SOSP,CuiWGGY11,False,unknown,False
SOSP,LenersWHAW11,True,False,True
SOSP,ZhouFNHLS11,True,False,False
SOSP,MickensD11,True,False,False
SOSP,AndrusDHLN11,True,False,False
SOSP,GuoWZHYZ11,False,unknown,False
SOSP,SirerBRSWWS11,True,False,True
SOSP,MesnierCLA11,True,False,False
SOSP,VeeraraghavanCFN11,False,unknown,False
SOSP,OngaroRSOR11,True,False,True
SOSP,GlendenningBKA11,True,False,False
VLDB,FakasCM11,True,False,True
VLDB,RanuS11,True,False,False
VLDB,LiuZW11,True,False,False
VLDB,PavloJZ11,True,False,False
VLDB,HoobinPZ11,True,False,True
VLDB,WuXDCZZ12,True,False,True
VLDB,ZhangTPH11,True,False,False
VLDB,SuchanekAS11,True,False,True
VLDB,FangSYB11,True,False,False
VLDB,LinJZXL11,True,False,False
VLDB,SunAH12,True,False,False
VLDB,ZhaoAW11,False,unknown,False
VLDB,RohPKSL11,True,False,False
VLDB,KruegerKGSSCPDZ11,True,False,False
VLDB,YangRW11,True,False,False
VLDB,NguyenMNNF11,True,False,False
VLDB,MansourASK11,True,False,True
VLDB,MarcusWKMM11,True,False,False
VLDB,JestesYL11,True,False,True
VLDB,GoasdoueKLM11,True,False,False
VLDB,CormodeTY11,True,False,False
VLDB,ArmbrustCKFFP11,True,False,True
VLDB,FabbriL11,True,False,False
VLDB,RuttenbergS11,True,False,False
VLDB,GoyalBL11,True,False,True
VLDB,LiDWF11,True,False,True
VLDB,QumsiyehPN11,True,False,False
VLDB,CaoSTC12,True,False,False
VLDB,SelkeLB12,True,False,False
VLDB,KonigDCN11,True,False,False
VLDB,KanagalAPJYP12,True,False,False
VLDB,SilvaMZ12,True,False,True
VLDB,FanWW12,True,False,False
VLDB,FunkeKN12,False,unknown,False
VLDB,TongCCY12,True,False,True
VLDB,CandanRSW12,True,False,False
VLDB,GoodrichNOPTTL12,True,False,False
VLDB,BaoDM12,True,False,False
VLDB,CheungAMM12,False,unknown,False
VLDB,MetwallyF12,True,False,False
VLDB,KhoussainovaBS12,False,unknown,False
VLDB,ChubakR12,True,False,False
VLDB,DallachiesaNMP12,True,False,True
VLDB,ZhuKA12,True,False,True
VLDB,JiangBCL12,True,False,False
VLDB,AlyAO12,True,False,False
VLDB,BakibayevOZ12,True,False,False
VLDB,UpadhyayaBS12,True,False,False
VLDB,SatuluriP12,True,False,True
VLDB,AngelKSS12,True,False,False
VLDB,FujiwaraNOK12,True,False,False
VLDB,SunWWSL12,True,False,False
VLDB,PimplikarS12,True,False,False
VLDB,ZhangCW12,False,unknown,False
VLDB,DasuL12,True,False,False
VLDB,VoWACO12,True,False,True
VLDB,KumarR11,True,False,True
VLDB,LaptevZZ12,False,unknown,False
VLDB,SchnaitterP12,True,False,False
VLDB,BenediktBL12,False,unknown,False
VLDB,QinYC12,True,False,False
VLDB,LimHB12,True,False,False
VLDB,AlbutiuKN12,True,False,False
VLDB,JhaS12,True,False,False
VLDB,LiM12,True,False,True
VLDB,AhmadKKN12,True,False,True
VLDB,FinkHO12,False,unknown,False
VLDB,LiuLOSWZ12,False,unknown,False
VLDB,DasTADY12,False,unknown,False
VLDB,ZhangZXYW12,True,False,True
VLDB,LarsonBDFPZ11,False,unknown,False
VLDB,YinCLYC12,True,False,False
VLDB,BahmaniKV12,True,False,False
VLDB,LuoLMCZ12,False,unknown,False
VLDB,ShengZTJ12,True,False,False
VLDB,GulloT12,True,False,False
VLDB,AgarwalRB12,True,False,False
VLDB,DalviMP12,False,unknown,False
VLDB,LiKNC12,False,unknown,False
VLDB,Bidoit-TolluCU12,True,False,False
VLDB,BlunschiJKMS12,True,False,False
VLDB,KangLM12,True,False,False
VLDB,BenderFJKKMMSSZ12,True,False,False
VLDB,FanLZCH12,True,False,False
VLDB,LiQSC12,False,unknown,False
VLDB,TerrovitisLMS12,True,False,False
VLDB,MamourasOSKG12,False,unknown,False
VLDB,LuSCO12,True,False,False
VLDB,PapapetrouGD12,False,unknown,False
VLDB,BarskyKWH11,False,unknown,False
VLDB,BahmaniMVKV12,False,unknown,False
VLDB,HallBBGN12,True,False,False
VLDB,WangC12,True,False,False
VLDB,EwenTKM12,False,unknown,False
VLDB,AmsterdamerDDMST11,False,unknown,False
VLDB,SzlichtaGG12,False,unknown,False
VLDB,MouratidisY12,True,False,False
VLDB,CaoK12,False,unknown,False
VLDB,CautisK12,False,unknown,False
VLDB,CaoCCX12,False,unknown,False
VLDB,ZengH12,False,unknown,False
VLDB,TauheedHSMA12,False,unknown,False
VLDB,HueskePSRBKT12,True,False,False
VLDB,NguyenHZW12,False,unknown,False
VLDB,GraefeK12,False,unknown,False
VLDB,PattersonENAA12,True,False,False
VLDB,YangLW12,True,False,True
VLDB,PorobicPBTA12,False,unknown,False
VLDB,MaCFHW11,False,unknown,False
VLDB,JestesPLT12,True,False,False
VLDB,Shirani-MehrKS12,True,False,False
VLDB,GaoJZYJW11,False,unknown,False
VLDB,ErdosILTB12,True,False,False
VLDB,GuanYK12,True,False,False
VLDB,ZhaoRGH12,True,False,False
VLDB,ChoiCT12,False,unknown,False
VLDB,BailisVFHS12,True,False,True
VLDB,Jacques-SilvaGWWK12,True,False,False
VLDB,LangHPST12,False,unknown,False
VLDB,GiannikisAK12,True,False,False
VLDB,PawlikA11,True,False,True
VLDB,BaranyCO12,False,unknown,False
VLDB,WangKFF12,True,False,False
VLDB,YuanZWXYH12,True,False,True
VLDB,SinghG12,True,False,False
VLDB,BoldiBGT12,True,False,True
VLDB,DittrichQRSJS12,True,False,False
VLDB,GraefeHIKM12,False,unknown,False
VLDB,WangHLWZS12,True,False,False
VLDB,ZengJZ12,True,False,False
VLDB,LowGKBGH12,True,False,True
VLDB,LiuRLMB12,True,False,True
VLDB,LappasVGT12,True,False,True
VLDB,ZhangY12,True,False,True
VLDB,ElghandourA12,True,False,False
VLDB,IseleB12,True,False,True
VLDB,SowellGS12,True,False,False
VLDB,CaoCLT12,True,False,False
VLDB,SachanB12,True,False,False
VLDB,HalimIKY12,True,False,False
VLDB,YuanWCW12,False,unknown,False
TOCS,GebhartJTKDLS12,True,False,False
TOCS,GandhiHRK12,True,False,False
TOCS,BugnionDRSW12,True,False,False
TOCS,EsmaeilzadehBASB12,True,False,True
TOCS,SchupbachBRP12,True,False,True
TOCS,ChipounovKC12,True,False,True
TOCS,SaezFKP12,True,True,False
TOCS,HarterDVAA12,True,False,True
TOCS,YuanZPZS12,True,False,False
TOCS,ErlingssonPPBM12,True,False,False
TOCS,FerdmanAKVAJKPAF12,True,False,True
TOCS,EbrahimiLMP12,True,False,False
TOCS,VeeraraghavanLWOCFN12,True,False,False
CCS,AuZHL12,True,False,True
CCS,LiZXYW12,False,unknown,False
CCS,PengGSLQPNM12,False,unknown,False
CCS,BoldyrevaL12,False,unknown,False
CCS,AlSabahBG12,False,unknown,False
CCS,SunB12,False,unknown,False
CCS,KamaraMR12,True,False,False
CCS,ChenAC12,True,False,True
CCS,VaradarajanKFRS12,True,False,False
CCS,YanLKW12,True,False,False
CCS,AlmeidaBBBKB12,True,False,False
CCS,KammerstetterPW12,False,unknown,False
CCS,NikiforakisIKAJKPV12,False,unknown,False
CCS,SchroederS12,True,False,False
CCS,BarthePB12,True,False,False
CCS,CamenischLN12,True,False,False
CCS,BackesMU12,False,unknown,False
CCS,LuLWLJ12,False,unknown,False
CCS,MoonLLKPK12,True,True,False
CCS,EdwardsC12,False,unknown,False
CCS,CzeskisDKWB12,True,False,False
CCS,QianMX12,False,unknown,False
CCS,ButtLSG12,True,False,False
CCS,MoghaddamLDG12,True,False,False
CCS,GeorgievIJABS12,False,unknown,False
CCS,BianchiSKV12,True,False,False
CCS,McCoyDKVS12,False,unknown,False
CCS,Bravo-LilloCDKSS12,False,unknown,False
CCS,ChenJL12,True,True,False
CCS,Mironov12,False,unknown,False
CCS,PengLTLZ12,False,unknown,False
CCS,WeinbergWYBCWB12,True,False,True
CCS,CaiZJJ12,False,unknown,False
CCS,ChuangGM12,True,False,False
CCS,Akinyele0HP12,True,False,False
CCS,StrackxP12,True,False,False
CCS,XieYKAGVWHM12,False,unknown,False
CCS,SrivatsaH12,False,unknown,False
CCS,WilliamsST12,True,False,False
CCS,YangLQQMM12,True,False,False
CCS,HolzerFKV12,True,False,True
CCS,AizatulinGJ12,True,False,True
CCS,KamaraPR12,False,unknown,False
CCS,WartellMHL12,True,False,False
CCS,JamshedLMYKLYP12,True,False,False
CCS,FahlHMSBF12,True,False,False
CCS,WilliamsS12,True,True,False
CCS,SchuchardGTH12,True,False,False
CCS,EngelhardtMZ12,False,unknown,False
CCS,AkkusCHFG12,False,unknown,False
CCS,GordonKKKM0V12,True,False,False
CCS,ZhangJRR12,False,unknown,False
CCS,DamGL12,True,False,False
CCS,WangGNHB12,True,False,False
CCS,McLaughlinM12,False,unknown,False
CCS,AuK12,False,unknown,False
CCS,CalvetFM12,True,False,True
CCS,DijkJORST12,True,False,False
CCS,MuthukumaranJG12,False,unknown,False
CCS,ArapinisMRRGRB12,True,True,False
CCS,ShokriTTHB12,True,False,False
CCS,BellareHR12,False,unknown,False
CCS,MooreAC12,False,unknown,False
CCS,BernhardCPW12,False,unknown,False
CCS,MavrogiannopoulosVVP12,True,False,False
CCS,GroefDNP12,True,False,True
CCS,HongYX12,True,False,False
CCS,KimGHOHPG12,False,unknown,False
CCS,RoufMXXMG12,True,False,False
CCS,HardtN12,True,False,False
CCS,NighswanderLDBB12,True,True,False
CCS,CramptonGY12,False,unknown,False
CCS,GeneiatakisPKK12,True,False,True
CCS,GrierBCCDLMMNPPRRRTPSV12,False,unknown,False
CCS,XuCGK12,False,unknown,False
